Addison, United States, 5 star, 3 Michelin star.

Zafran Indian Bistro, Saudi Arabia, 4 star, No Michelin star.

L'Enclume, United Kingdom, 5 star, 2 Michelin star.

la pergola etterem & pizzeria, Italy, 5 star, No Michelin star.

Vue de Monde, Australia, 5 star, 3 Michelin star.

Onslow, New Zealand, 5 star, No Michelin star.

Iraqi Touch Restaraunt, Iraq, 5 star, No Michelin star.

Brisket Amman, Jordan, 5 star, 1 Michelin star.

Babel, Kuwait, 5 star, no Michelin Star.

Habib Beirut, Lebanon, 5 star, No Michelin star.

naranj, Syria, 5 star, No Michelin star.

Siraj, UAE, 5 star, 1 Michelin star.

Otto e Mezzo Bombanna, Hong Kong, 5 star, No Michelin Star.

pandok Laguna, Indonesia, 5 star, No Michelin Star.

Okazaki Sushi, Japan, 5 star, 1 Michelin Star.

Al Sultan Restaurant Bukit Bintang, Malaysia, 5 star, No Michelin Star.
